'DATE','OPP','GF','GA','SF','xGF','xGA','HDSF','HDSA','PDO'
'2019-10-03','Canadiens',4,3,43,4.64,2.67,16,6,0.986
'2019-10-05','Capitals',3,2,28,2.5,3.18,8,9,1.048
'2019-10-06','Lightning',4,3,44,3.55,1.01,13,3,0.86
'2019-10-08','Panthers',6,3,35,4.18,4.24,14,17,1.111
'2019-10-11','Islanders',5,2,40,4.58,1.98,13,3,1.02
'2019-10-12','Blue Jackets',2,3,32,1.83,4.02,7,7,0.977
'2019-10-15','Kings',2,0,23,2.68,3.19,5,7,1.087
'2019-10-16','Sharks',2,5,38,2.57,3.57,12,10,0.825
'2019-10-18','Ducks',2,4,24,1.59,2.73,6,6,0.883
'2019-10-24','Blue Jackets',3,4,24,2.15,2.24,7,8,0.996
'2019-10-26','Blackhawks',4,0,31,3.0,2.79,10,7,1.129
'2019-10-29','Flames',2,1,28,3.33,2.82,4,10,1.037
'2019-11-01','Red Wings',7,3,34,5.14,2.89,17,12,1.112
'2019-11-02','Devils',3,5,27,2.58,3.61,9,11,0.919
'2019-11-05','Flyers',1,4,34,3.3,1.56,8,5,0.887
'2019-11-07','Rangers',2,4,47,4.49,2.49,11,5,0.832
'2019-11-09','Senators',1,4,39,2.19,2.13,7,9,0.892
'2019-11-11','Senators',8,2,43,4.44,2.61,10,7,1.117
'2019-11-14','Sabres',5,4,29,1.82,2.32,6,10,1.051
'2019-11-16','Wild',4,3,28,1.75,2.64,7,12,1.057
'2019-11-19','Blackhawks',4,2,33,4.69,3.45,12,14,1.059
'2019-11-21','Flyers',3,5,36,3.78,2.3,16,7,0.866
'2019-11-23','Panthers',4,2,34,3.83,1.82,7,6,1.031
'2019-11-24','Red Wings',2,0,36,2.7,1.28,4,6,1.056
'2019-11-27','Rangers',2,3,43,3.99,4.03,18,11,0.927
'2019-11-29','Predators',0,3,31,3.18,2.89,13,8,0.893
'2019-11-30','Lightning',3,2,24,1.58,2.82,3,10,1.072
'2019-12-03','Bruins',0,2,24,1.56,1.83,4,5,0.941
'2019-12-05','Sharks',3,2,29,2.46,2.66,8,14,1.002
'2019-12-07','Wild',6,2,40,4.22,2.53,8,6,1.067
'2019-12-10','Oilers',6,3,32,2.42,3.4,7,12,1.104
'2019-12-12','Canucks',0,1,43,2.94,2.2,10,7,0.962
'2019-12-14','Flames',4,0,31,3.73,2.74,10,11,1.129
'2019-12-17','Jets',6,3,28,3.28,2.98,14,9,1.123
'2019-12-19','Avalanche',3,1,40,3.64,2.94,9,9,1.039
'2019-12-21','Panthers',2,4,44,4.22,2.23,18,7,0.864
'2019-12-23','Maple Leafs',6,8,40,2.66,3.42,8,12,0.945
'2019-12-27','Rangers',3,5,42,4.18,2.63,9,12,0.863
'2019-12-28','Capitals',6,4,29,3.38,3.28,5,10,1.069
'2019-12-31','Canadiens',3,1,36,5.3,2.86,12,10,1.05
'2020-01-03','Capitals',3,4,41,4.6,2.59,13,8,0.935
'2020-01-05','Lightning',1,3,29,3.21,3.8,7,13,0.919
'2020-01-07','Flyers',5,4,33,3.05,2.15,12,6,0.961
'2020-01-10','Coyotes',3,0,29,2.73,2.28,12,7,1.103
'2020-01-11','Kings',2,0,30,3.55,3.34,4,9,1.067
'2020-01-13','Capitals',0,2,23,1.97,2.41,4,7,0.933
'2020-01-16','Blue Jackets',2,3,34,3.12,1.24,8,2,0.892
'2020-01-17','Ducks',1,2,26,2.48,3.14,9,10,0.984
'2020-01-19','Islanders',2,1,32,2.32,2.84,8,7,0.994
'2020-01-21','Jets',4,1,29,5.16,2.19,18,7,1.079
'2020-01-31','Golden Knights',3,4,25,2.77,3.9,11,14,1.012
'2020-02-02','Canucks',4,3,32,2.65,3.58,12,10,1.008
'2020-02-04','Blues',3,6,28,2.26,2.56,7,9,0.876
'2020-02-06','Coyotes',5,3,31,3.61,3.25,9,12,1.07
'2020-02-08','Golden Knights',6,5,34,1.79,2.86,8,12,1.015
'2020-02-11','Stars',1,4,25,1.7,3.39,5,11,0.932
'2020-02-14','Devils',5,2,31,3.21,3.7,8,12,1.107
'2020-02-16','Oilers',3,4,31,2.43,2.45,8,7,0.93
'2020-02-18','Predators',4,1,30,3.63,1.78,11,5,1.099
'2020-02-21','Rangers',2,5,29,2.81,3.97,8,10,0.93
'2020-02-22','Maple Leafs',6,3,47,5.04,3.0,18,11,1.012
'2020-02-25','Stars',1,4,41,3.25,1.9,7,6,0.774
'2020-02-28','Avalanche',2,3,47,4.38,3.78,14,8,0.949
'2020-02-29','Canadiens',3,4,30,2.42,2.75,8,11,0.997
'2020-03-05','Flyers',1,4,29,2.16,2.8,7,10,0.909
'2020-03-07','Islanders',3,2,28,2.31,1.81,10,9,1.03
'2020-03-08','Penguins',6,2,36,2.93,2.54,10,10,1.1
'2020-03-10','Red Wings',5,2,36,2.61,1.71,9,6,1.059
